time/total_timesteps,time/iterations,train/loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_range,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance
8192,4,2.500687837600708,156.33258306123315,-0.00564656032147468,0.000993856,30,0.2,7616.0,130,600.0,62,0.642529296875,0.31056505,-5.503522039949894,0.03529393672943115
16384,8,8.761260986328125,146.43808197649196,0.018040410900721327,0.000985664,70,0.2,7616.0,289,600.0,56,0.47783203125,0.076508805,-4.651483242213726,0.06962007284164429
24576,12,2.6600091457366943,9.024692158401013,0.0015570921153994278,0.000977472,110,0.2,9832.5,448,600.0,54,0.61123046875,0.14729846,-3.810280492156744,0.5540186762809753
32768,16,0.41298457980155945,82.83470635600388,0.042500983635545705,0.0009692800000000001,150,0.2,9832.5,607,600.0,53,0.345849609375,0.07912813,-4.586747822165489,0.14119434356689453
40960,20,0.009470295161008835,0.12713747504167258,-0.05482534267066512,0.0009610879999999999,190,0.2,9176.25,765,500.0,53,0.38037109375,0.075842634,-1.8824416037648917,0.8744473308324814
49152,24,0.03821892291307449,0.1454445624462096,-0.03135613998019835,0.000952896,230,0.2,9176.25,923,500.0,53,0.380126953125,0.050387457,-2.5058510839939117,0.7298584580421448
57344,28,37.62434387207031,69.9531853556633,0.004180713430105243,0.000944704,270,0.2,9124.833333333334,1081,366.6666666666667,52,0.62109375,0.30898678,-1.4187279870733618,0.534294068813324
65536,32,2.7631380558013916,14.299340297840535,0.0009616530769562814,0.000936512,310,0.2,8814.57142857143,1240,371.42857142857144,52,0.46484375,0.11747834,-2.749726617336273,0.6240930259227753
73728,36,-0.029764415696263313,0.022079746183226234,-0.043204343115576194,0.0009283200000000001,350,0.2,8814.57142857143,1399,371.42857142857144,52,0.314306640625,0.036711,-3.446458537876606,0.7142013311386108
81920,40,9.807180404663086,35.487084196652724,0.05354277050646487,0.0009201280000000001,390,0.2,9955.25,1557,325.0,52,0.429541015625,0.19967316,-3.981424753367901,0.5157851874828339
90112,44,45.98130416870117,113.15076016560197,0.07365644882556807,0.000911936,430,0.2,9986.333333333334,1716,355.55555555555554,52,0.48359375,0.4435416,-4.268439999222755,0.4084285497665405
98304,48,-0.0762670710682869,0.004622377952227907,-0.03871685285266722,0.000903744,470,0.2,9986.333333333334,1874,355.55555555555554,52,0.336181640625,0.07247059,-3.921790423244238,0.7306049168109894
106496,52,-0.047858089208602905,0.0020301312666106243,-0.03994790972792543,0.000895552,510,0.2,9986.333333333334,2033,355.55555555555554,52,0.296728515625,0.04081145,-3.3717678539454936,0.7385691404342651
114688,56,0.08082731068134308,27.86906947901007,0.011286396428477018,0.00088736,550,0.2,9319.75,2192,283.3333333333333,52,0.512451171875,0.10441571,-4.466248776018619,0.7903492897748947
122880,60,0.3271850645542145,1.2606363338418305,-0.040763224978582,0.0008791679999999999,590,0.2,9319.75,2349,283.3333333333333,52,0.543701171875,0.08183355,-3.7470829084515573,0.18755072355270386
131072,64,-0.03176761418581009,0.004820009516151913,-0.03368333830730989,0.000870976,630,0.2,9662.692307692309,2508,292.3076923076923,52,0.379052734375,0.031605452,-4.229575178027153,-1.138472080230713
139264,68,-0.06293030828237534,0.0020505793205757073,-0.03340457853337284,0.000862784,670,0.2,9662.692307692309,2667,292.3076923076923,52,0.30458984375,0.030749638,-4.043422995507717,-0.6310701370239258
147456,72,-0.0549880713224411,0.139215487515321,-0.06691071386158001,0.000854592,710,0.2,10219.142857142857,2826,271.42857142857144,52,0.517236328125,0.068216905,-4.578678561747074,0.8539600968360901
155648,76,0.14108794927597046,44.44737891554833,0.07498595384822693,0.0008464000000000001,750,0.2,10219.142857142857,2984,271.42857142857144,52,0.57861328125,0.21509185,-3.900169727951288,0.05254721641540527
163840,80,6.497975826263428,15.241926254332066,0.00829465371207334,0.0008382080000000001,790,0.2,10420.533333333333,3143,293.3333333333333,52,0.2646484375,0.0318322,-3.4909980654716493,0.6565446257591248
172032,84,-0.0694986879825592,0.0024734691107369143,-0.03306162667577155,0.000830016,830,0.2,10420.533333333333,3302,293.3333333333333,52,0.377294921875,0.031401012,-4.0378670938313,-0.09547615051269531
180224,88,-0.038924869149923325,0.13429326925543136,-0.052193253870063926,0.000821824,870,0.2,10922.5,3460,312.5,52,0.489111328125,0.0810653,-3.997166995704174,0.1495518684387207
188416,92,22.5853328704834,169.85771639794112,0.06011937769726501,0.000813632,910,0.2,10918.588235294117,3618,317.6470588235294,52,0.65615234375,0.3219986,-2.5967838041484357,0.4030415415763855
196608,96,0.02513549104332924,0.264630467700772,-0.04115199470543303,0.0008054399999999999,950,0.2,10661.944444444445,3777,322.22222222222223,52,0.445751953125,0.06769718,-3.6010721027851105,0.8219375014305115
