train/approx_kl,train/clip_range,time/fps,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,time/iterations,time/time_elapsed,train/n_updates,train/entropy_loss,train/value_loss,time/total_timesteps,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
0.15138945,0.2,62,-0.02365859302226454,-0.002830028533935547,0.0009979519999999999,0.54921875,4,130,30,-6.001341953873634,154.6627020969987,8192,90.98475646972656,,
0.18287304,0.2,56,-0.04365764204412699,0.5797872245311737,0.0009952213333333333,0.463037109375,8,289,70,-2.226994789391756,0.895904924441129,16384,0.25060781836509705,14820.0,800.0
0.11537488,0.2,54,-0.0017791251397284214,0.5863779783248901,0.0009924906666666667,0.328125,12,447,110,-2.2413929741829635,58.30154842436313,24576,8.062673568725586,11114.0,1100.0
0.12685612,0.2,54,-0.0009415407053893432,0.2877713441848755,0.00098976,0.539697265625,16,605,150,-2.0200204983353616,7.684529139846563,32768,2.404564380645752,5678.2,560.0
0.17476758,0.2,53,-0.038993836502049815,0.7423169314861298,0.0009870293333333333,0.31884765625,20,763,190,-1.1689489563927054,0.8440751489484682,40960,0.08009018003940582,5894.666666666667,533.3333333333334
0.13829806,0.2,53,-0.055290274815342856,-0.17514419555664062,0.0009842986666666667,0.490380859375,24,924,230,-3.4034725315868855,0.22343711949652062,49152,-0.062175069004297256,6778.571428571428,600.0
0.10252801,0.2,52,-0.009315925822011194,0.732225775718689,0.000981568,0.28583984375,28,1082,270,-0.8320922386832535,1.8450559530407191,57344,0.7138915061950684,6153.0,488.8888888888889
0.049411245,0.2,52,-0.006276387443358544,-0.942898154258728,0.0009788373333333334,0.34658203125,32,1240,310,-1.12355738542974,0.5359359431313351,65536,0.06590281426906586,6153.0,488.8888888888889
3.040164,0.2,52,-0.06807296326151117,0.8906931504607201,0.0009761066666666667,0.553271484375,36,1398,350,-0.3082201657118276,3.895897852187045,73728,0.1822965294122696,6852.4,500.0
0.07560198,0.2,52,0.006887942621688126,0.5224703848361969,0.0009733760000000001,0.081884765625,40,1555,390,-0.21090695647289975,86.32105112373829,81920,27.2348690032959,7186.181818181818,600.0
0.18017335,0.2,52,-0.05799190570833161,0.3081907033920288,0.0009706453333333334,0.574853515625,44,1713,430,-0.635371801815927,175.91197884082794,90112,45.320011138916016,6257.428571428572,500.0
0.07529197,0.2,52,-0.009646914570475928,0.7930965423583984,0.0009679146666666667,0.3671875,48,1872,470,-1.8679595060646534,0.18339588261442258,98304,-0.021870389580726624,6257.428571428572,500.0
0.046387512,0.2,52,-0.01554896404777537,0.7097284495830536,0.0009651840000000001,0.295947265625,52,2030,510,-1.1614078087732196,0.4434711490175687,106496,0.045424897223711014,6729.733333333334,466.6666666666667
0.71659756,0.2,52,0.03423712307267124,0.5019193887710571,0.0009624533333333334,0.485986328125,56,2187,550,-1.0462474882602693,110.0440179079771,114688,24.90727424621582,6748.0,462.5
